device_number,epoch_time_utc,active_seconds,device_coherence,significance
337,1775045219,3600,16.0483,Normal
337,1775045279,3600,24.5757,Normal
337,1775045339,3600,20.2532,Normal
337,1775045399,3600,14.1864,Normal
337,1775045459,3600,61.8007,Normal
337,1775045519,3600,39.6576,Normal
337,1775045579,3600,49.6484,Normal
337,1775045639,3600,48.8303,Normal
337,1775045699,3600,54.1135,Normal
337,1775045759,3600,58.4722,Normal
337,1775045819,3600,59.8577,Normal
337,1775045879,3600,86.5424,Normal
337,1775045939,3600,96.9272,Normal
337,1775045999,3600,108.6374,Normal
337,1775046059,3600,113.4687,Normal
337,1775046119,3600,63.0043,Normal
337,1775046179,3600,72.4482,Normal
337,1775046239,3600,69.6084,Normal
337,1775046299,3600,76.3848,Normal
337,1775046359,3600,53.2501,Normal
337,1775046419,3600,52.0913,Normal
337,1775046479,3600,66.4773,Normal
337,1775046539,3600,82.8018,Normal
337,1775046599,3600,57.9199,Normal
337,1775046659,3600,59.9972,Normal
337,1775046719,3600,79.3289,Normal
337,1775046779,3600,61.0656,Normal
337,1775046839,3600,111.049,Normal
337,1775046899,3600,185.0874,Normal
337,1775046959,3600,193.2984,Normal
337,1775047019,3600,154.2984,Normal
337,1775047079,3600,100.2765,Normal
337,1775047139,3600,134.2756,Normal
337,1775047199,3600,109.8024,Normal
337,1775047259,3600,117.4375,Normal
337,1775047319,3600,150.4617,Normal
337,1775047379,3600,142.9396,Normal
337,1775047439,3600,111.1041,Normal
337,1775047499,3600,95.5038,Normal
337,1775047559,3600,87.5586,Normal
337,1775047619,3600,114.3582,Normal
337,1775047679,3600,146.1314,Normal
337,1775047739,3600,171.5679,Normal
337,1775047799,3600,256.6997,Elevated
337,1775047859,3600,232.4977,Normal
337,1775047919,3600,174.3228,Normal
337,1775047979,3600,151.9905,Normal
337,1775048039,3600,171.1859,Normal
337,1775048099,3600,168.145,Normal
337,1775048159,3600,166.6125,Normal
337,1775048219,3600,166.0061,Normal
337,1775048279,3600,161.0707,Normal
337,1775048339,3600,199.3584,Normal
337,1775048399,3600,172.1752,Normal
337,1775048459,3600,237.7019,Normal
337,1775048519,3600,263.7612,Elevated
337,1775048579,3600,254.961,Elevated
337,1775048639,3600,277.8746,Elevated
